Date,Vegetable,Actual,Predicted
2025-01-29,Snake gourd,200.0,192.16053040273033
2025-01-30,Snake gourd,200.0,213.28416248319817
2025-01-31,Snake gourd,200.0,207.1683082178244
2025-02-01,Snake gourd,200.0,200.85081358046193
2025-02-02,Snake gourd,200.0,195.6143252560127
2025-02-03,Snake gourd,200.0,198.00616249124042
2025-02-04,Snake gourd,200.0,205.7432244897913
2025-02-05,Snake gourd,200.0,201.46194352050162
2025-02-06,Snake gourd,200.0,201.82272211837133
2025-02-07,Snake gourd,220.0,203.23767407937683
2025-02-08,Snake gourd,220.0,220.95479803401045
2025-02-09,Snake gourd,220.0,220.94989009961458
2025-02-10,Snake gourd,250.0,220.27700973850526
2025-02-11,Snake gourd,250.0,248.09015245989204
2025-02-12,Snake gourd,250.0,250.28875870143028
2025-02-13,Snake gourd,250.0,250.93184043363252
2025-02-14,Snake gourd,250.0,249.53152295114413
2025-02-15,Snake gourd,250.0,250.4106735015818
2025-02-16,Snake gourd,250.0,254.2985760365401
2025-02-17,Snake gourd,200.0,252.0673813391556
2025-02-18,Snake gourd,150.0,201.33107151838834
2025-02-19,Snake gourd,150.0,156.39116372188656
2025-02-20,Snake gourd,170.0,156.41387711260037
2025-02-21,Snake gourd,200.0,178.01955301024364
2025-02-22,Snake gourd,200.0,201.8262788801517
2025-02-23,Snake gourd,200.0,191.49262632357664
2025-02-24,Snake gourd,100.0,187.78808900718278
2025-02-25,Snake gourd,100.0,103.11824448488638
2025-02-26,Snake gourd,100.0,110.67975053347479
2025-02-27,Snake gourd,100.0,115.0224096280831
2025-02-28,Snake gourd,100.0,116.46141866488132
2025-03-01,Snake gourd,100.0,103.16159821208674
2025-03-02,Snake gourd,100.0,95.92177032668098
2025-03-03,Snake gourd,150.0,97.96051507313393
2025-03-04,Snake gourd,150.0,157.2179653248197
2025-03-05,Snake gourd,130.0,150.1210938732048
2025-03-06,Snake gourd,150.0,135.20587297320057
2025-03-07,Snake gourd,200.0,152.95324294210445
2025-03-08,Snake gourd,200.0,206.22958530192759
2025-03-09,Snake gourd,200.0,210.0956677166999
2025-03-10,Snake gourd,250.0,203.91234628236688
2025-03-11,Snake gourd,250.0,244.37963611748583
2025-03-12,Snake gourd,250.0,255.81605982460076
2025-03-13,Snake gourd,250.0,257.1567832627835
2025-03-14,Snake gourd,250.0,250.35379875798097
2025-03-15,Snake gourd,250.0,252.33176445218217
2025-03-16,Snake gourd,250.0,258.8709947267853
2025-03-17,Snake gourd,300.0,254.21552178377485
2025-03-18,Snake gourd,300.0,295.213333830473
2025-03-19,Snake gourd,300.0,298.7278468115711
2025-03-20,Snake gourd,300.0,294.2563365133736
2025-03-21,Snake gourd,300.0,293.1603311481783
